Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Loss/Loss_safety,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-308.816205411743,0.0,1000.0,11,220000,17,0.020148245617747307,0.00029175000000000007,20.337046350444357,3.2762501289036603e-07,-0.020047755819619168,0.0,0.0,13.93200159072876,20.941475868225098,34.87347865104675,1.201629640235069e-08,-6.051734113832197e-10
-273.19862769396536,0.0,1000.0,12,240000,15,0.02040426805615425,0.0002910000000000001,20.883508016913336,2.304171958581686e-07,-0.021034501811550955,0.0,0.0,14.004217863082886,19.337851762771606,33.34207272529602,-1.5544891596164234e-08,4.860572500042792e-10
-227.12394437686083,0.015000000000000003,1000.0,13,260000,18,0.021551916375756264,0.0002902500000000001,22.066672593598508,0.0016764852240607044,-0.02119629488149403,0.0,0.5,11.35291337966919,21.37383460998535,32.726749420166016,-7.343292196537732e-09,-1.5497207683790037e-10
-137.9025966114194,0.18500000000000003,1000.0,14,280000,16,0.020091526210308075,0.0002895000000000001,24.31837571962192,0.0014257362502261446,-0.021505542624646577,0.0,0.5,10.742410898208618,19.81307816505432,30.55549120903015,4.97818000155803e-08,-3.3676625377232483e-10
-91.07000322316694,0.0,1000.0,15,300000,13,0.020579949021339417,0.0002887500000000001,21.700742123431088,5.318084167189382e-08,-0.016810797585087925,0.0,0.0,10.637375831604004,16.03011202812195,26.667489767074585,-4.0435789827597546e-08,5.858018931048647e-11
-98.17700945638936,0.0,1000.0,16,320000,12,0.02044266276061535,0.0002880000000000001,19.097558092893248,3.614647142672041e-08,-0.019326864208513324,0.0,0.0,8.105802774429321,14.95901370048523,23.064817428588867,2.813339250451463e-08,-2.1574086961351213e-10
-34.64882640594713,0.0,1000.0,17,340000,14,0.02144283428788185,0.0002872500000000001,18.83241207922827,2.5643451217434163e-08,-0.02064052602447933,0.0,0.0,10.061267137527466,17.382972240447998,27.444242238998413,-4.8542023733944006e-08,8.454080491215876e-11
15.673707397146746,0.05000000000000001,1000.0,18,360000,11,0.02243412472307682,0.00028650000000000013,21.731597240325016,0.00043340235216173656,-0.01815547989159303,0.0,0.25,9.030900478363037,13.508929252624512,22.539832830429077,-6.19888282926695e-08,1.9073485846288207e-10
102.58719190156216,0.0325,1000.0,19,380000,9,0.02023303136229515,0.00028575000000000014,24.634276764503724,0.002105567136791702,-0.014666813628382408,0.0,0.75,6.6916749477386475,11.42374038696289,18.11541724205017,2.6702881683604573e-08,-1.3709068602540952e-10
161.3334224153373,0.2625,1000.0,20,400000,10,0.02156420610845089,0.00028500000000000015,24.317298511042,0.0023766979184889365,-0.017515350966015086,0.0,1.0,10.873095750808716,12.767866373062134,23.640963077545166,-2.6130676289426447e-08,1.84774404110577e-10
179.9211731030904,0.22749999999999998,1000.0,21,420000,9,0.021026117727160454,0.00028425000000000016,23.856374727735968,0.002573102569502322,-0.015524231704275289,0.0,1.5,11.460992336273193,10.849644184112549,22.310638666152954,-2.803802523487775e-08,-1.6689299942029834e-10
259.4705369309279,0.33249999999999996,1000.0,22,440000,12,0.02204974927008152,0.00028350000000000017,34.01226671612935,0.003387259668458476,-0.01826599984580038,0.0,1.5,10.908480644226074,14.503595113754272,25.41207718849182,-7.743835794826737e-08,9.849667748085267e-10
347.17955148734274,0.48249999999999993,1000.0,23,460000,10,0.02019883506000042,0.0002827500000000002,32.19920099002485,0.005706794466246697,-0.016043529823978844,0.0,3.0,16.135950565338135,12.168527841567993,28.30448031425476,2.8610228852699038e-08,9.179115245672165e-10
