Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Loss/Loss_safety,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
428.402886944634,0.2295454545454545,914.7545454545453,61,1220000,2,0.02065454050898552,0.0002542500000000005,15.842127566520398,0.010112268109965813,0.0007475551623946276,9.335888966203878,1.5,27.45201277732849,2.8296971321105957,30.2817120552063,-6.589889522956582e-08,1.3113021779531664e-10
472.77952274428543,0.31,961.6400000000001,62,1240000,4,0.022786203771829605,0.0002535000000000005,16.62653146993619,0.004776804532972722,-0.005346040984172338,11.02251337587643,1.25,29.08458638191223,5.59316611289978,34.677754402160645,8.001327245210632e-08,5.960464326965065e-12
505.4669174468922,0.3285714285714285,957.8666666666666,63,1260000,4,0.021791568025946617,0.00025275000000000053,24.851410227461745,0.004988280759946541,-0.00643055152464896,12.603713194783122,1.5,28.85061812400818,5.6479034423828125,34.498522996902466,7.2479249269008506e-09,-3.57627885638756e-11
528.7499621496473,0.5590909090909092,942.0795454545453,64,1280000,4,0.021226603537797928,0.00025200000000000054,20.908967611507865,0.0365954033439109,-0.004873412069879448,14.374121549411322,4.5,29.268816709518433,5.5814948081970215,34.850313901901245,-3.9672851670502496e-08,-3.57627885638756e-11
542.9619243744996,0.4000000000000002,893.6934782608693,65,1300000,4,0.020817501470446587,0.00025125000000000055,23.874026884286167,0.0007790116743038085,-0.0038615141031198416,15.834964901494523,0.25,30.426563501358032,5.560283660888672,35.98684883117676,3.5667419240326126e-08,-1.616776018620314e-10
583.4536814918043,0.05454545454545456,931.7795454545453,66,1320000,1,0.02398107387125492,0.00025050000000000056,20.4229709576494,0.004527632953891436,0.006133059069466667,16.946639161521254,0.25,29.56723403930664,1.436096429824829,31.003333806991577,1.9550323582251394e-09,4.827976352039798e-10
598.1846883103015,0.25749999999999995,943.1975,67,1340000,1,0.020675839856266975,0.00024975000000000057,21.075035020566215,0.0044141363656779115,0.007347992518708443,17.66033668639942,1.75,30.34110403060913,1.446211576461792,31.787318229675293,-2.1934509319976314e-08,-5.6624413491412895e-11
584.8203914262715,0.1543478260869565,919.6782608695653,68,1360000,3,0.020716592669487,0.0002490000000000006,25.432096623511107,0.025049902773116337,-0.0003433386954906396,18.992438658611714,2.0,29.864720106124878,4.289591073989868,34.154314279556274,3.3456085901661936e-08,-4.678964438120659e-10
603.2465241888456,0.445,919.3700000000001,69,1380000,1,0.021792050451040268,0.0002482500000000006,19.527549658339627,0.002854605981118281,0.00860971118064639,20.302567009727795,1.25,27.682764768600464,1.451328992843628,29.134096384048462,-5.550384685193421e-08,7.599592483087392e-11
637.2047966670226,0.21500000000000002,1000.0,70,1400000,1,0.020703328773379326,0.0002475000000000006,23.89441308579125,0.0018908590100297983,0.005729722724959683,21.318262740065116,0.75,29.76317024230957,1.469205379486084,31.232378244400024,7.510185362491484e-09,-1.8179416305663665e-10
640.1267554707088,0.06190476190476192,945.9785714285712,71,1420000,3,0.021520474925637245,0.0002467500000000006,27.43859457944275,0.0008331936238368544,-0.002166154269224253,22.772111338167527,0.25,31.200300693511963,4.1495959758758545,35.349900007247925,1.3399124476620727e-08,-3.024935857354194e-10
710.7904060589386,0.08750000000000002,959.4725000000001,72,1440000,2,0.02146085537970066,0.0002460000000000006,23.581672540487954,0.0004944086238817099,0.002786128578659968,24.444578719215272,0.25,28.59805393218994,2.832688808441162,31.430745124816895,-3.433227391269611e-08,2.8312205357927667e-10
766.1873069251785,0.09999999999999999,976.5250000000002,73,1460000,5,0.021403390914201736,0.0002452500000000006,27.451586919546887,0.037458427884853436,-0.007043248082335574,26.183700962493212,0.75,30.17561626434326,6.9851038455963135,37.160722732543945,8.201599399626502e-09,8.344649971014917e-11
747.3906167430133,0.7333333333333333,967.0619047619044,74,1480000,2,0.020398177206516266,0.00024450000000000063,31.61766879398602,0.012777647225854966,0.0036405445236084868,27.39709924508969,5.75,29.127925634384155,2.7951557636260986,31.923083543777466,4.267692421677793e-09,6.556510889765832e-11
750.5261342041155,0.4375000000000001,949.76,75,1500000,1,0.024562180042266846,0.00024375000000000064,20.939767339359076,0.0012392186024244845,0.007799317584203455,28.64871594243156,0.0,28.815571308135986,1.4051740169525146,30.22074794769287,-2.574920721087892e-09,-8.344649971014917e-11
767.768793007033,0.09499999999999997,995.0800000000003,76,1520000,2,0.02168021723628044,0.00024300000000000062,25.67158840030146,0.006310178536406425,0.003684055313063315,29.871221188919993,0.75,30.937697887420654,2.8144354820251465,33.75213551521301,2.2125243859250077e-08,2.6822089688183226e-11
782.6384482749946,0.45,927.3478260869564,77,1540000,2,0.020573461428284645,0.0002422500000000006,34.564489222943976,0.0039427559337423985,0.002555154115199662,30.941422413713255,2.5,30.895074129104614,2.7919921875,33.687068462371826,2.9373168786150927e-08,3.069639264996482e-10
751.7178043486456,0.1826086956521739,875.1152173913041,78,1560000,2,0.020258139818906784,0.00024150000000000058,30.8776908789199,0.0005436568141613824,0.0028145871907710646,31.91762101840668,0.25,30.367864847183228,2.8191299438476562,33.18699789047241,-1.602172794434864e-08,2.756714856388953e-10
799.8147900965322,0.18181818181818182,956.2568181818183,79,1580000,1,0.021261924877762794,0.0002407500000000006,29.445462738743988,0.004618829917277956,0.009628385275649949,32.926189117919144,1.25,30.828799962997437,1.426058053970337,32.25485968589783,7.581711258808355e-09,2.6822089688183226e-11
837.6339965206889,0.3595238095238095,924.3785714285713,80,1600000,3,0.020677100867033005,0.0002400000000000006,34.49300840436714,0.01152409540917629,-0.00011329511646677257,34.832307732270294,2.5,29.45076847076416,4.2541420459747314,33.7049126625061,-3.051757735406113e-09,2.384185730786026e-11
829.3843231757847,0.3295454545454546,929.0613636363636,81,1620000,2,0.02076457254588604,0.00023925000000000058,31.34872121551928,0.0012748372917270516,0.0026543624044512025,36.417223604342425,1.0,29.99078130722046,2.8438668251037598,32.83464980125427,3.347397026232102e-08,2.8312206745706447e-11
802.9969484995293,0.15238095238095237,918.5523809523809,82,1640000,1,0.026619406417012215,0.00023850000000000057,34.37203128497821,0.01439473942692463,0.00933116034548075,37.50858588416737,1.75,29.35406231880188,1.4651217460632324,30.819186687469482,7.629394893626795e-09,-4.2319298065862654e-10
887.9769155010117,0.588095238095238,971.5880952380953,83,1660000,1,0.02144302986562252,0.00023775000000000057,31.31977651675288,0.004335919920724784,0.01064464314052234,38.71306614982434,2.5,31.0997953414917,1.367274522781372,32.46707272529602,-2.312660285497259e-08,-1.2516974956522375e-10
884.2121238707714,0.7886363636363637,898.7795454545452,84,1680000,3,0.026396704837679863,0.00023700000000000058,32.92496629111683,0.03131194035172092,0.0008098675975530419,40.33742804319079,6.75,28.4768967628479,4.188310146331787,32.6652090549469,1.8119812317252126e-09,-5.960464326965065e-12
942.8498676148877,0.9761904761904762,937.1857142857145,85,1700000,1,0.022181637585163116,0.00023625000000000057,37.07687901384153,0.02381551681203952,0.008952069045684208,41.814814424362424,3.75,29.487447500228882,1.432262659072876,30.91971254348755,-2.0503998499066256e-08,4.291534350109316e-10
1072.0780569921012,0.9477272727272726,976.9727272727272,86,1720000,1,0.02125552110373974,0.00023550000000000057,38.12180017891783,0.010928581850365186,0.007792116791462174,42.956375170820436,3.75,23.061518669128418,1.4060187339782715,24.467540979385376,3.0994415922691587e-09,1.1920929521291868e-10
963.5244835743549,0.7875,937.0200000000001,87,1740000,1,0.0215092021971941,0.00023475000000000058,32.67280592019566,0.016335683270207287,0.010272855233674804,43.72062001822475,6.25,32.91586899757385,1.5090091228485107,34.42488074302673,-2.245903019115758e-08,4.649162166359133e-10
992.9655183617733,1.0690476190476192,970.7761904761907,88,1760000,3,0.023784324526786804,0.00023400000000000056,31.846301026491567,0.03308359236013605,0.00114020891636372,45.45350751785425,4.25,30.884816646575928,4.1640684604644775,35.04888701438904,-6.151199549719877e-09,1.788139358804841e-10
1077.1055980736946,2.0136363636363637,978.818181818182,89,1780000,1,0.020715633407235146,0.00023325000000000057,39.9830755380015,0.060342099211854155,0.009428603150628911,46.94070148163329,10.75,31.769968509674072,1.4221725463867188,33.192142486572266,-2.2888184680880386e-09,4.768371461572052e-11
1011.6566317666944,2.0975,935.6099999999999,90,1800000,1,0.022833561524748802,0.00023250000000000058,38.4798584867971,0.046990216266328155,0.007530924321089785,47.802750072540185,11.25,31.557958602905273,1.4036281108856201,32.961589336395264,5.7220459481754915e-09,-4.768371808516747e-10
1032.3116342392327,1.5238095238095237,963.8666666666667,91,1820000,2,0.020127493888139725,0.0002317500000000006,45.08480736851311,0.013101837374348068,0.004479141228240185,48.97073949868687,5.0,27.224056482315063,2.8488047122955322,30.072864055633545,-1.5258788677030566e-09,3.4570693530078245e-10
953.8850259113838,0.9500000000000002,926.9619047619047,92,1840000,1,0.0235326886177063,0.0002310000000000006,46.25376090150291,0.04364322893843709,0.009097086280560532,49.807825350532895,6.25,30.760797262191772,1.434377670288086,32.195176124572754,-6.484985437538171e-09,-1.4185905783392627e-09
1034.7813666141096,1.2525,977.7049999999999,93,1860000,1,0.024197570979595184,0.00023025000000000058,34.986654433960354,0.01582052578187039,0.010214977211857471,50.56822225308647,4.5,30.36497187614441,1.4434692859649658,31.808443546295166,-4.482269222449986e-09,1.192092865393013e-11
1016.7934816208901,1.1295454545454546,915.7068181818184,94,1880000,3,0.024341244250535965,0.0002295000000000006,60.66929953903182,0.030089394074613755,0.0016085514972329583,51.77543675480559,7.75,30.42132878303528,4.20962929725647,34.6309609413147,8.344650304081824e-09,2.98023217215615e-10
1035.4801028701909,1.4285714285714284,937.2309523809521,95,1900000,1,0.020112022757530212,0.0002287500000000006,44.75540935955109,0.046973922534640465,0.0078775841793337,52.877071587803265,9.5,30.093401193618774,1.4727106094360352,31.566113471984863,3.19480886190604e-09,5.483627441016381e-10
1079.608344248328,1.8299999999999996,967.0799999999999,96,1920000,1,0.021959582343697548,0.0002280000000000006,32.1833492010927,0.035124651480692264,0.01511232081515054,54.118866917424306,9.0,30.876003742218018,1.3963375091552734,32.2723433971405,4.768371808516747e-10,-1.8835066839528736e-09
1099.4237450631774,1.7840909090909094,940.2499999999997,97,1940000,1,0.025177378207445145,0.00022725000000000062,46.36115346092005,0.029335576945695635,0.009707378437772345,55.40661441937041,7.5,31.267138719558716,1.4121522903442383,32.679293394088745,-8.869171175263091e-09,-7.15255771277512e-11
1013.5907787024639,1.2772727272727271,922.5795454545453,98,1960000,2,0.020121470093727112,0.0002265000000000006,54.26075519464268,0.06426064712077248,0.005277463363650175,56.731804338887855,8.75,29.072714805603027,2.8034119606018066,31.876128911972046,-1.3351439953623867e-09,-2.0265579492306784e-10
1155.9014397675742,1.7474999999999998,945.4375,99,1980000,1,0.02614290826022625,0.00022575000000000058,32.99527983315075,0.025151921600585405,0.010549189560055829,57.94763667438739,8.0,30.71525549888611,1.3823564052581787,32.09761428833008,1.678466787780053e-08,4.500150807551506e-10
